TAA_ID,TAA_DATE,TAA_SHIFT,TAA_WKNO,TAA_CHE_TYPE,TAA_MOVE_KIND,TAA_AGV_ID,TAA_DRIVER,TAA_DRIVENAME,TAA_CNTRID,TAA_AGO_GROUP_ID,TAA_CSIZECD,TAA_CSTATUSCD,TAA_DNGCD,TAA_OVLMTCD,TAA_CTYPECD,TAA_SETTMPT,TAA_WK_STTIME,TAA_WK_EDTIME,TAA_FREE1_ARRTIME,TAA_FREE1_EDTIME,TAA_FREE2_ARRTIME,TAA_FREE2_EDTIME,TAA_FULL1_ARRTIME,TAA_FULL1_EDTIME,TAA_FULL2_ARRTIME,TAA_FULL2_EDTIME,TAA_CONTRACTOR,TAA_VOY_ID,TAA_CNL_WAIT_SECONDS,TAA_CNL_AGO_ID,TAA_PRIOR_EDTIME,TAA_VALIDFG,TAA_WI_ID,TAA_ORC_ID,TAA_CNTRNO,TAA_CREATEUSER,TAA_FREE_PB_ARRTIME,TAA_FREE_PB_EDTIME,TAA_FULL_PB_ARRTIME,TAA_FULL_PB_EDTIME,TAA_FREE1_ST_TP_ID,TAA_FREE1_ED_TP_ID,TAA_FREE2_ST_TP_ID,TAA_FREE2_ED_TP_ID,TAA_FULL1_ST_TP_ID,TAA_FULL1_ED_TP_ID,TAA_FULL2_ST_TP_ID,TAA_FULL2_ED_TP_ID,TAA_FREE_PB_ID,TAA_FULL_PB_ID,TAA_MILEAGE,TAA_CREATEDT
"TAA-20260910-000011","2026-09-10",2,"W03","AGV","IMPORT","AGV-011","SIM","Simulation AGV","CNTR-0000011","AGO-G-11","40","FULL","N","N","40HQ","","2026-09-10 00:02:00","2026-09-10 00:23:13","2026-09-10 00:02:00","2026-09-10 00:02:10","2026-09-10 00:10:54","2026-09-10 00:11:04","2026-09-10 00:05:47","2026-09-10 00:06:05","2026-09-10 00:07:29","2026-09-10 00:07:49","SYNTHETIC","VOY-011",14,"AGO-000011","2026-09-10 00:05:00","Y","WI-0000011","ORC-0000011","SYN0000011","SIMULATOR","2026-09-10 00:02:05","2026-09-10 00:02:08","2026-09-10 00:05:39","2026-09-10 00:05:44","TP-F1-S-11","TP-F1-E-11","TP-F2-S-11","TP-F2-E-11","TP-L1-S-11","TP-L1-E-11","TP-L2-S-11","TP-L2-E-11","PB-FREE-11","PB-FULL-11",7397.2,"2026-09-10 00:00:00"
"TAA-20260910-000012","2026-09-10",2,"W04","AGV","EXPORT","AGV-012","SIM","Simulation AGV","CNTR-0000012","AGO-G-12","40","FULL","N","N","40HQ","","2026-09-10 00:02:12","2026-09-10 00:23:47","2026-09-10 00:02:12","2026-09-10 00:02:22","2026-09-10 00:10:58","2026-09-10 00:11:08","2026-09-10 00:07:01","2026-09-10 00:07:19","2026-09-10 00:09:06","2026-09-10 00:09:26","SYNTHETIC","VOY-012",15,"AGO-000012","2026-09-10 00:05:12","Y","WI-0000012","ORC-0000012","SYN0000012","SIMULATOR","2026-09-10 00:02:17","2026-09-10 00:02:20","2026-09-10 00:06:53","2026-09-10 00:06:58","TP-F1-S-12","TP-F1-E-12","TP-F2-S-12","TP-F2-E-12","TP-L1-S-12","TP-L1-E-12","TP-L2-S-12","TP-L2-E-12","PB-FREE-12","PB-FULL-12",7570.8,"2026-09-10 00:00:00"
"TAA-20260910-000013","2026-09-10",2,"W05","AGV","IMPORT","AGV-013","SIM","Simulation AGV","CNTR-0000013","AGO-G-13","20","FULL","N","N","20GP","","2026-09-10 00:02:24","2026-09-10 00:28:24","2026-09-10 00:02:24","2026-09-10 00:02:34","2026-09-10 00:15:04","2026-09-10 00:15:14","2026-09-10 00:05:36","2026-09-10 00:05:54","2026-09-10 00:07:04","2026-09-10 00:07:24","SYNTHETIC","VOY-013",4,"AGO-000013","2026-09-10 00:05:24","Y","WI-0000013","ORC-0000013","SYN0000013","SIMULATOR","2026-09-10 00:02:29","2026-09-10 00:02:32","2026-09-10 00:05:28","2026-09-10 00:05:33","TP-F1-S-13","TP-F1-E-13","TP-F2-S-13","TP-F2-E-13","TP-L1-S-13","TP-L1-E-13","TP-L2-S-13","TP-L2-E-13","PB-FREE-01","PB-FULL-01",8917.5,"2026-09-10 00:00:00"
"TAA-20260910-000014","2026-09-10",2,"W06","AGV","EXPORT","AGV-014","SIM","Simulation AGV","CNTR-0000014","AGO-G-14","40","FULL","N","N","40HQ","","2026-09-10 00:02:36","2026-09-10 00:24:22","2026-09-10 00:02:36","2026-09-10 00:02:46","2026-09-10 00:12:06","2026-09-10 00:12:16","2026-09-10 00:04:37","2026-09-10 00:04:55","2026-09-10 00:05:39","2026-09-10 00:05:59","SYNTHETIC","VOY-014",5,"AGO-000014","2026-09-10 00:05:36","Y","WI-0000014","ORC-0000014","SYN0000014","SIMULATOR","2026-09-10 00:02:41","2026-09-10 00:02:44","2026-09-10 00:04:29","2026-09-10 00:04:34","TP-F1-S-14","TP-F1-E-14","TP-F2-S-14","TP-F2-E-14","TP-L1-S-14","TP-L1-E-14","TP-L2-S-14","TP-L2-E-14","PB-FREE-02","PB-FULL-02",7423.3,"2026-09-10 00:00:00"
"TAA-20260910-000015","2026-09-10",2,"W07","AGV","IMPORT","AGV-015","SIM","Simulation AGV","CNTR-0000015","AGO-G-15","40","FULL","N","N","40HQ","","2026-09-10 00:02:48","2026-09-10 00:23:10","2026-09-10 00:02:48","2026-09-10 00:02:58","2026-09-10 00:10:31","2026-09-10 00:10:41","2026-09-10 00:04:37","2026-09-10 00:04:55","2026-09-10 00:05:36","2026-09-10 00:05:56","SYNTHETIC","VOY-015",6,"AGO-000015","2026-09-10 00:05:48","Y","WI-0000015","ORC-0000015","SYN0000015","SIMULATOR","2026-09-10 00:02:53","2026-09-10 00:02:56","2026-09-10 00:04:29","2026-09-10 00:04:34","TP-F1-S-15","TP-F1-E-15","TP-F2-S-15","TP-F2-E-15","TP-L1-S-15","TP-L1-E-15","TP-L2-S-15","TP-L2-E-15","PB-FREE-03","PB-FULL-03",6903.1,"2026-09-10 00:00:00"
"TAA-20260910-000016","2026-09-10",2,"W08","AGV","EXPORT","AGV-016","SIM","Simulation AGV","CNTR-0000016","AGO-G-16","20","FULL","N","N","20GP","","2026-09-10 00:03:00","2026-09-10 00:22:21","2026-09-10 00:03:00","2026-09-10 00:03:10","2026-09-10 00:11:15","2026-09-10 00:11:25","2026-09-10 00:05:51","2026-09-10 00:06:09","2026-09-10 00:07:13","2026-09-10 00:07:33","SYNTHETIC","VOY-016",7,"AGO-000016","2026-09-10 00:06:00","Y","WI-0000016","ORC-0000016","SYN0000016","SIMULATOR","2026-09-10 00:03:05","2026-09-10 00:03:08","2026-09-10 00:05:43","2026-09-10 00:05:48","TP-F1-S-16","TP-F1-E-16","TP-F2-S-16","TP-F2-E-16","TP-L1-S-16","TP-L1-E-16","TP-L2-S-16","TP-L2-E-16","PB-FREE-04","PB-FULL-04",6586,"2026-09-10 00:00:00"
"TAA-20260910-000017","2026-09-10",2,"W01","AGV","IMPORT","AGV-017","SIM","Simulation AGV","CNTR-0000017","AGO-G-17","40","FULL","N","N","40HQ","","2026-09-10 00:03:12","2026-09-10 00:29:57","2026-09-10 00:03:12","2026-09-10 00:03:22","2026-09-10 00:17:43","2026-09-10 00:17:53","2026-09-10 00:07:38","2026-09-10 00:07:56","2026-09-10 00:09:34","2026-09-10 00:09:54","SYNTHETIC","VOY-017",8,"AGO-000017","2026-09-10 00:06:12","Y","WI-0000017","ORC-0000017","SYN0000017","SIMULATOR","2026-09-10 00:03:17","2026-09-10 00:03:20","2026-09-10 00:07:30","2026-09-10 00:07:35","TP-F1-S-17","TP-F1-E-17","TP-F2-S-17","TP-F2-E-17","TP-L1-S-17","TP-L1-E-17","TP-L2-S-17","TP-L2-E-17","PB-FREE-05","PB-FULL-05",9261.2,"2026-09-10 00:00:00"
"TAA-20260910-000018","2026-09-10",2,"W02","AGV","EXPORT","AGV-018","SIM","Simulation AGV","CNTR-0000018","AGO-G-18","40","FULL","N","N","40HQ","","2026-09-10 00:03:24","2026-09-10 00:26:04","2026-09-10 00:03:24","2026-09-10 00:03:34","2026-09-10 00:13:45","2026-09-10 00:13:55","2026-09-10 00:06:20","2026-09-10 00:06:38","2026-09-10 00:07:42","2026-09-10 00:08:02","SYNTHETIC","VOY-018",9,"AGO-000018","2026-09-10 00:06:24","Y","WI-0000018","ORC-0000018","SYN0000018","SIMULATOR","2026-09-10 00:03:29","2026-09-10 00:03:32","2026-09-10 00:06:12","2026-09-10 00:06:17","TP-F1-S-18","TP-F1-E-18","TP-F2-S-18","TP-F2-E-18","TP-L1-S-18","TP-L1-E-18","TP-L2-S-18","TP-L2-E-18","PB-FREE-06","PB-FULL-06",7727.8,"2026-09-10 00:00:00"
"TAA-20260910-000019","2026-09-10",2,"W03","AGV","IMPORT","AGV-019","SIM","Simulation AGV","CNTR-0000019","AGO-G-19","20","FULL","N","N","20GP","","2026-09-10 00:03:36","2026-09-10 00:21:55","2026-09-10 00:03:36","2026-09-10 00:03:46","2026-09-10 00:11:28","2026-09-10 00:11:38","2026-09-10 00:05:40","2026-09-10 00:05:58","2026-09-10 00:06:44","2026-09-10 00:07:04","SYNTHETIC","VOY-001",10,"AGO-000019","2026-09-10 00:06:36","Y","WI-0000019","ORC-0000019","SYN0000019","SIMULATOR","2026-09-10 00:03:41","2026-09-10 00:03:44","2026-09-10 00:05:32","2026-09-10 00:05:37","TP-F1-S-19","TP-F1-E-19","TP-F2-S-19","TP-F2-E-19","TP-L1-S-19","TP-L1-E-19","TP-L2-S-19","TP-L2-E-19","PB-FREE-07","PB-FULL-07",6134.4,"2026-09-10 00:00:00"
"TAA-20260910-000020","2026-09-10",2,"W04","AGV","EXPORT","AGV-020","SIM","Simulation AGV","CNTR-0000020","AGO-G-20","40","FULL","N","N","40HQ","","2026-09-10 00:03:48","2026-09-10 00:20:58","2026-09-10 00:03:48","2026-09-10 00:03:58","2026-09-10 00:11:14","2026-09-10 00:11:24","2026-09-10 00:06:24","2026-09-10 00:06:42","2026-09-10 00:07:39","2026-09-10 00:07:59","SYNTHETIC","VOY-002",11,"AGO-000020","2026-09-10 00:06:48","Y","WI-0000020","ORC-0000020","SYN0000020","SIMULATOR","2026-09-10 00:03:53","2026-09-10 00:03:56","2026-09-10 00:06:16","2026-09-10 00:06:21","TP-F1-S-20","TP-F1-E-20","TP-F2-S-20","TP-F2-E-20","TP-L1-S-20","TP-L1-E-20","TP-L2-S-20","TP-L2-E-20","PB-FREE-08","PB-FULL-08",5808.8,"2026-09-10 00:00:00"
"TAA-20260910-000021","2026-09-10",2,"W05","AGV","IMPORT","AGV-021","SIM","Simulation AGV","CNTR-0000021","AGO-G-21","40","FULL","N","N","40HQ","","2026-09-10 00:04:00","2026-09-10 00:30:51","2026-09-10 00:04:00","2026-09-10 00:04:10","2026-09-10 00:18:52","2026-09-10 00:19:02","2026-09-10 00:09:54","2026-09-10 00:10:12","2026-09-10 00:12:23","2026-09-10 00:12:43","SYNTHETIC","VOY-003",12,"AGO-000021","2026-09-10 00:07:00","Y","WI-0000021","ORC-0000021","SYN0000021","SIMULATOR","2026-09-10 00:04:05","2026-09-10 00:04:08","2026-09-10 00:09:46","2026-09-10 00:09:51","TP-F1-S-21","TP-F1-E-21","TP-F2-S-21","TP-F2-E-21","TP-L1-S-21","TP-L1-E-21","TP-L2-S-21","TP-L2-E-21","PB-FREE-09","PB-FULL-09",9330.6,"2026-09-10 00:00:00"
"TAA-20260910-000022","2026-09-10",2,"W06","AGV","EXPORT","AGV-022","SIM","Simulation AGV","CNTR-0000022","AGO-G-22","20","FULL","N","N","20GP","","2026-09-10 00:04:12","2026-09-10 00:25:25","2026-09-10 00:04:12","2026-09-10 00:04:22","2026-09-10 00:15:25","2026-09-10 00:15:35","2026-09-10 00:08:33","2026-09-10 00:08:51","2026-09-10 00:10:27","2026-09-10 00:10:47","SYNTHETIC","VOY-004",13,"AGO-000022","2026-09-10 00:07:12","Y","WI-0000022","ORC-0000022","SYN0000022","SIMULATOR","2026-09-10 00:04:17","2026-09-10 00:04:20","2026-09-10 00:08:25","2026-09-10 00:08:30","TP-F1-S-22","TP-F1-E-22","TP-F2-S-22","TP-F2-E-22","TP-L1-S-22","TP-L1-E-22","TP-L2-S-22","TP-L2-E-22","PB-FREE-10","PB-FULL-10",7243,"2026-09-10 00:00:00"
"TAA-20260910-000023","2026-09-10",2,"W07","AGV","IMPORT","AGV-023","SIM","Simulation AGV","CNTR-0000023","AGO-G-23","40","FULL","N","N","40HQ","","2026-09-10 00:04:24","2026-09-10 00:22:09","2026-09-10 00:04:24","2026-09-10 00:04:34","2026-09-10 00:13:07","2026-09-10 00:13:17","2026-09-10 00:08:02","2026-09-10 00:08:20","2026-09-10 00:09:41","2026-09-10 00:10:01","SYNTHETIC","VOY-005",14,"AGO-000023","2026-09-10 00:07:24","Y","WI-0000023","ORC-0000023","SYN0000023","SIMULATOR","2026-09-10 00:04:29","2026-09-10 00:04:32","2026-09-10 00:07:54","2026-09-10 00:07:59","TP-F1-S-23","TP-F1-E-23","TP-F2-S-23","TP-F2-E-23","TP-L1-S-23","TP-L1-E-23","TP-L2-S-23","TP-L2-E-23","PB-FREE-11","PB-FULL-11",6042.2,"2026-09-10 00:00:00"
"TAA-20260910-000024","2026-09-10",2,"W08","AGV","EXPORT","AGV-024","SIM","Simulation AGV","CNTR-0000024","AGO-G-24","40","FULL","N","N","40HQ","","2026-09-10 00:04:36","2026-09-10 00:20:04","2026-09-10 00:04:36","2026-09-10 00:04:46","2026-09-10 00:10:40","2026-09-10 00:10:50","2026-09-10 00:07:24","2026-09-10 00:07:42","2026-09-10 00:08:44","2026-09-10 00:09:04","SYNTHETIC","VOY-006",15,"AGO-000024","2026-09-10 00:07:36","Y","WI-0000024","ORC-0000024","SYN0000024","SIMULATOR","2026-09-10 00:04:41","2026-09-10 00:04:44","2026-09-10 00:07:16","2026-09-10 00:07:21","TP-F1-S-24","TP-F1-E-24","TP-F2-S-24","TP-F2-E-24","TP-L1-S-24","TP-L1-E-24","TP-L2-S-24","TP-L2-E-24","PB-FREE-12","PB-FULL-12",5170.9,"2026-09-10 00:00:00"
"TAA-20260910-000025","2026-09-10",2,"W01","AGV","IMPORT","AGV-025","SIM","Simulation AGV","CNTR-0000025","AGO-G-25","20","FULL","N","N","20GP","","2026-09-10 00:04:48","2026-09-10 00:30:54","2026-09-10 00:04:48","2026-09-10 00:04:58","2026-09-10 00:20:56","2026-09-10 00:21:06","2026-09-10 00:10:14","2026-09-10 00:10:32","2026-09-10 00:12:32","2026-09-10 00:12:52","SYNTHETIC","VOY-007",4,"AGO-000025","2026-09-10 00:07:48","Y","WI-0000025","ORC-0000025","SYN0000025","SIMULATOR","2026-09-10 00:04:53","2026-09-10 00:04:56","2026-09-10 00:10:06","2026-09-10 00:10:11","TP-F1-S-25","TP-F1-E-25","TP-F2-S-25","TP-F2-E-25","TP-L1-S-25","TP-L1-E-25","TP-L2-S-25","TP-L2-E-25","PB-FREE-01","PB-FULL-01",8974.7,"2026-09-10 00:00:00"
"TAA-20260910-000026","2026-09-10",2,"W02","AGV","EXPORT","AGV-026","SIM","Simulation AGV","CNTR-0000026","AGO-G-26","40","FULL","N","N","40HQ","","2026-09-10 00:05:00","2026-09-10 00:26:18","2026-09-10 00:05:00","2026-09-10 00:05:10","2026-09-10 00:17:27","2026-09-10 00:17:37","2026-09-10 00:08:53","2026-09-10 00:09:11","2026-09-10 00:10:36","2026-09-10 00:10:56","SYNTHETIC","VOY-008",5,"AGO-000026","2026-09-10 00:08:00","Y","WI-0000026","ORC-0000026","SYN0000026","SIMULATOR","2026-09-10 00:05:05","2026-09-10 00:05:08","2026-09-10 00:08:45","2026-09-10 00:08:50","TP-F1-S-26","TP-F1-E-26","TP-F2-S-26","TP-F2-E-26","TP-L1-S-26","TP-L1-E-26","TP-L2-S-26","TP-L2-E-26","PB-FREE-02","PB-FULL-02",7260.1,"2026-09-10 00:00:00"
"TAA-20260910-000027","2026-09-10",2,"W03","AGV","IMPORT","AGV-027","SIM","Simulation AGV","CNTR-0000027","AGO-G-27","40","FULL","N","N","40HQ","","2026-09-10 00:05:12","2026-09-10 00:24:05","2026-09-10 00:05:12","2026-09-10 00:05:22","2026-09-10 00:14:55","2026-09-10 00:15:05","2026-09-10 00:08:13","2026-09-10 00:08:31","2026-09-10 00:09:38","2026-09-10 00:09:58","SYNTHETIC","VOY-009",6,"AGO-000027","2026-09-10 00:08:12","Y","WI-0000027","ORC-0000027","SYN0000027","SIMULATOR","2026-09-10 00:05:17","2026-09-10 00:05:20","2026-09-10 00:08:05","2026-09-10 00:08:10","TP-F1-S-27","TP-F1-E-27","TP-F2-S-27","TP-F2-E-27","TP-L1-S-27","TP-L1-E-27","TP-L2-S-27","TP-L2-E-27","PB-FREE-03","PB-FULL-03",6346.3,"2026-09-10 00:00:00"
